Zipcode,Positive,Total_Tests,Percent.Population,Median.Household.Income,Percent_College,Percent_Public_Transit,density,Percent_Crowded
10001,313,976,32.07,85221,70.25057458377711,46.11439010680157,13259.3,3.1051403748692783
10002,905,2219,40.78,35449,33.13039482752962,53.78045491324283,35781.9,4.651162790697675
10003,407,1347,30.22,104441,80.37570858435649,53.122893043211775,37524.3,0.8038585209003215
10004,28,93,30.11,140450,90.4939809049398,59.26280516993777,2214.8,0.48221820373719104
10005,54,227,23.79,154213,88.4741527409027,63.95623891188645,37900.9,0.6401463191586648
10006,21,99,21.21,145893,93.18780579601054,52.87797390636991,12458.3,2.6755852842809364
10007,48,215,22.33,242644,76.78035982008996,49.00314795383001,16915,7.543024533138045
10009,616,1900,32.42,60521,58.75346260387811,59.480122324159026,38399.1,1.8097416576964478
10010,239,1038,23.03,115084,78.03627760252367,56.53861464968153,32205.4,3.1421598535692494
10011,473,1422,33.26,123208,78.33054462328847,55.36612548570739,29744,1.9500137324910738
10012,149,531,28.06,104561,79.56722058290624,51.16610520860326,28771,2.0347147246906405
10013,225,760,29.61,106056,61.79119115549215,48.63842662632375,19437.4,4.096445853495744
10014,272,834,32.61,127973,85.07587917700278,52.656636831079794,22447.1,1.2452685281694005
10016,615,2153,28.56,109250,77.88848999926734,38.70018802693031,39315.3,1.978143588324803
10017,128,526,24.33,118469,82.50124634997508,37.01751250893495,20189.9,1.1307420494699647
10018,194,578,33.56,107861,72.06253151790217,44.40465532676813,6252.9,2.041216879293425
10019,532,1637,32.5,99063,72.17099050052774,43.24284827006686,23754.2,1.329243353783231
10021,498,1815,27.44,123842,82.82976754314333,45.569473440037115,44214.6,2.1883501360217634
10022,305,1142,26.71,133208,82.17396179867679,40.493192910351915,28833.9,1.1302565239071416
10023,506,1821,27.79,123951,81.24082748637944,59.59053580658129,48060.9,1.5552191849939156
10024,582,1968,29.57,126107,79.83640255144208,70.65441198412462,26672.3,3.7146534033598835
10025,1111,3371,32.96,82352,67.50410894576191,68.15043682079693,48594.3,3.622047244094488
10026,578,1563,36.98,54349,43.73453239917738,78.28192709660973,39504.2,6.074524518048906
10027,878,2305,38.09,45536,47.35017216055476,66.28502889543125,26528.8,6.463399269245307
10028,436,1577,27.65,119203,83.12225132777391,62.951855278690616,55636,2.938620744134608
10029,1591,3726,42.7,34015,33.139418981859045,69.90267490971415,36151.2,7.305143578415904
10030,436,1117,39.03,36118,30.966338880484113,72.17916231927262,37367.3,6.21859296482412
10031,1107,2413,45.88,44040,33.78885316184351,76.87675027853895,33563.2,10.719978141081105
10032,1288,2886,44.63,41890,30.718729886290497,66.19041517170682,33808.6,13.372914899632457
10033,1154,2549,45.27,53044,35.40027447392497,68.93621413335168,34923.5,14.166497048646448
10034,610,1601,38.1,50909,31.609158747369094,68.26409078120605,13778,10.170860515688101
10035,830,1911,43.43,27932,24.607683445234596,71.51392934498469,9207.8,6.293318547269198
10036,367,1125,32.62,93707,73.98691052537207,47.27023608768972,21721.3,2.2369152814682076
10037,380,967,39.3,39979,38.491547464239275,68.42105263157895,26126.3,4.5421847703216525
10038,225,632,35.6,85032,58.24033830612005,52.216460354633654,26251.9,3.692458374142997
10039,449,1171,38.34,34197,28.510493089916395,76.63559777737946,21653.6,5.7894736842105265
10040,907,2167,41.86,47189,35.21237150694842,72.35340692096315,42392.8,10.23422532599963
10044,189,446,42.38,92623,63.31982122440495,83.23761665470208,19569.2,6.423757371524852
10065,294,1198,24.54,124322,81.9830764075067,40.57416267942583,32772.8,2.431959040689841
10069,46,177,25.99,137105,85.07268951194185,62.84597850862911,20875.8,1.0579937304075235
10075,346,1116,31,129594,78.49848501851643,52.79648830697041,54746.3,2.138649750792932
10128,567,2191,25.88,111937,82.21175055143372,65.54689816936722,50118.8,1.9614870809031963
10280,38,190,20,161419,89.02487694559,49.77118510336121,26417.5,3.3771929824561404
10282,64,184,34.78,250001,84.23057389537837,45.423023578363384,26893.9,7.171671896010758
10301,1043,2594,40.21,55818,36.27967830068881,42.31901471913487,4321.4,10.62185105942439
10302,579,1333,43.44,60968,23.046432616081542,31.695394906097246,6199.2,16.945844852821597
10303,772,1867,41.35,59898,24.708713272543058,39.83076458144454,3234.7,22.204512015693968
10304,1274,3122,40.81,54567,31.32521616375507,39.64767920264241,4369.7,13.717188823031329
10305,1115,3015,36.98,76044,32.079941278526626,35.19238136938318,4051.5,16.22451067312283
10306,1331,3876,34.34,80025,30.584757743220663,29.21054779982039,2887.9,10.011495976408256
10307,359,1028,34.92,81356,36.46021246742834,20.639975735517137,2958.8,13.586751975912684
10308,592,1805,32.8,91953,33.016179444750875,27.0961291244108,5364.6,13.176183320811418
10309,789,2300,34.3,100343,33.153053402606254,23.867725524258592,1886.3,14.584787159804605
10310,675,1791,37.69,69838,32.78454757583614,27.733578131374948,5368.7,12.257368799424874
10312,1398,3931,35.56,90797,34.00385141876058,22.332178200135758,3020.2,12.201852025067813
10314,2455,6487,37.84,80956,32.48170577845067,26.76087709746077,2413.4,14.488871883170717
10451,1451,3260,44.51,26979,18.872573502480606,68.30552133497592,17151.2,9.909533023061236
